group,model,subject,bic
15,x-aim-scale-two-state,12,-484.3298114373905
15,y-aim-scale-two-state,12,-484.32763358878367
15,error-scale-one-state,12,-98.7953160721166
15,retention-scale-one-state,12,-86.23529884723408
15,bias-scale-one-state,12,-299.7133173604275
15,x-aim-scale-one-state,12,-320.6293949777846
15,y-aim-scale-one-state,12,-320.6619971465374
15,error-scale-two-state-non-neg,12,-423.76316502648467
15,retention-scale-two-state-non-neg,12,-404.1135795037864
15,bias-scale-two-state-non-neg,12,-456.8366920144433
15,x-aim-scale-two-state-non-neg,12,-449.1421206219103
15,y-aim-scale-two-state-non-neg,12,-449.14806998762765
15,error-scale-two-state,13,-406.05093466932703
15,retention-scale-two-state,13,-452.61187453336777
15,bias-scale-two-state,13,-433.66967559085435
15,x-aim-scale-two-state,13,-459.8288933211586
15,y-aim-scale-two-state,13,-459.8869751374864
15,error-scale-one-state,13,-75.41019400387731
15,retention-scale-one-state,13,-68.16375982381021
15,bias-scale-one-state,13,-293.0447840490492
15,x-aim-scale-one-state,13,-322.4661356901224
15,y-aim-scale-one-state,13,-322.4992575592953
15,error-scale-two-state-non-neg,13,-408.1454569897158
15,retention-scale-two-state-non-neg,13,-414.1535450676889
15,bias-scale-two-state-non-neg,13,-440.22441306497467
15,x-aim-scale-two-state-non-neg,13,-426.96029324268534
15,y-aim-scale-two-state-non-neg,13,-426.5441045412497
15,error-scale-two-state,14,-416.49826234312525
15,retention-scale-two-state,14,-458.77634707508014
15,bias-scale-two-state,14,-459.3698128716752
15,x-aim-scale-two-state,14,-460.16846480265747
15,y-aim-scale-two-state,14,-460.1669200016928
15,error-scale-one-state,14,-75.87990160793515
15,retention-scale-one-state,14,-67.15326638053375
15,bias-scale-one-state,14,-304.1680039959715
15,x-aim-scale-one-state,14,-334.07424543788915
15,y-aim-scale-one-state,14,-334.0750272782466
15,error-scale-two-state-non-neg,14,-404.04872263465
15,retention-scale-two-state-non-neg,14,-448.5848739014991
15,bias-scale-two-state-non-neg,14,-457.69614532478056
15,x-aim-scale-two-state-non-neg,14,-423.2388864093764
15,y-aim-scale-two-state-non-neg,14,-429.2248300401758
15,error-scale-two-state,15,-403.84575900247467
15,retention-scale-two-state,15,-471.8957079028181
15,bias-scale-two-state,15,-467.7697976066918
15,x-aim-scale-two-state,15,-464.99381371001823
15,y-aim-scale-two-state,15,-464.9966386782462
15,error-scale-one-state,15,-78.08468599446581
15,retention-scale-one-state,15,-69.89310616387539
15,bias-scale-one-state,15,-308.2583038123688
15,x-aim-scale-one-state,15,-339.11468236781303
15,y-aim-scale-one-state,15,-339.1292778005661
15,error-scale-two-state-non-neg,15,-428.1951017701891
15,retention-scale-two-state-non-neg,15,-398.32218358630837
15,bias-scale-two-state-non-neg,15,-459.86039761705865
15,x-aim-scale-two-state-non-neg,15,-440.79606501694377
15,y-aim-scale-two-state-non-neg,15,-440.7375773176997
15,error-scale-two-state,16,-438.8804082494886
15,retention-scale-two-state,16,-469.0333472736154
15,bias-scale-two-state,16,-475.18154118908205
15,x-aim-scale-two-state,16,-479.0158427190646
15,y-aim-scale-two-state,16,-479.02334708904357
15,error-scale-one-state,16,-94.33331877324122
15,retention-scale-one-state,16,-84.98709224464017
15,bias-scale-one-state,16,-326.5963196857058
15,x-aim-scale-one-state,16,-355.38733965527257
15,y-aim-scale-one-state,16,-355.40744354310056
15,error-scale-two-state-non-neg,16,-426.798364421855
15,retention-scale-two-state-non-neg,16,-459.27166125093333
15,bias-scale-two-state-non-neg,16,-472.4051450519388
15,x-aim-scale-two-state-non-neg,16,-454.1175778474991
15,y-aim-scale-two-state-non-neg,16,-454.1077440259422
15,error-scale-two-state,17,-421.79396184907466
15,retention-scale-two-state,17,-459.378259559213
15,bias-scale-two-state,17,-468.61452333143234
15,x-aim-scale-two-state,17,-462.92827749033563
15,y-aim-scale-two-state,17,-462.91273802584635
15,error-scale-one-state,17,-86.36361616418034
15,retention-scale-one-state,17,-77.22612638505254
15,bias-scale-one-state,17,-309.6731551284555
15,x-aim-scale-one-state,17,-338.10606817627513
15,y-aim-scale-one-state,17,-338.1722434367154
15,error-scale-two-state-non-neg,17,-415.1503625711142
15,retention-scale-two-state-non-neg,17,-456.01282801435684
15,bias-scale-two-state-non-neg,17,-459.5429871471172
15,x-aim-scale-two-state-non-neg,17,-429.87825797540665
