GROUP,SUBJECT,PHASE,HAND,TRIAL,TRIAL_ABS,TARGET,ROT,SIG_MP,SIG_EP,DIR,HA_INIT,HA_MID,HA_END
17,1,Adaptation,RH,1,1,0,-25,2,2,CCW,2.804675111,2.774003253,2.301911089
17,1,Adaptation,RH,2,2,0,-34,1,1,CCW,4.44374012,5.899034704,28.11237441
17,1,Adaptation,RH,3,3,0,-38,4,4,CCW,9.846072385,7.868871984,9.97656449
17,1,Adaptation,RH,4,4,0,-31,2,2,CCW,12.99394033,12.93321007,22.1734519
17,1,Adaptation,RH,5,5,0,-30,4,4,CCW,12.99207928,11.70157381,14.52253979
17,1,Adaptation,RH,6,6,0,-34,2,2,CCW,15.1740118,14.56570632,25.82454176
17,1,Adaptation,RH,7,7,0,-23,1,1,CCW,17.46010516,17.33825947,20.47678961
17,1,Adaptation,RH,8,8,0,-29,2,2,CCW,21.05077679,20.96206811,21.810833
17,1,Adaptation,RH,9,9,0,-22,4,4,CCW,21.32498673,22.57774565,17.27755518
17,1,Adaptation,RH,10,10,0,-32,4,4,CCW,15.88943509,16.07036505,17.23015052
17,1,Adaptation,RH,11,11,0,-30,1,1,CCW,16.71487868,16.41362014,31.25422895
17,1,Adaptation,RH,12,12,0,-31,1,1,CCW,19.09118275,18.9311064,31.91169768
17,1,Adaptation,RH,13,13,0,-28,3,3,CCW,20.71149488,21.30376328,24.98427133
17,1,Adaptation,RH,14,14,0,-23,1,1,CCW,19.68691051,18.6114195,24.91379391
17,1,Adaptation,RH,15,15,0,-34,2,2,CCW,21.32186582,20.84306999,26.51214186
17,1,Adaptation,RH,16,16,0,-27,3,3,CCW,21.46667548,20.9001416,21.44356981
17,1,Adaptation,RH,17,17,0,-31,1,1,CCW,19.69820643,19.9946774,28.7086014
17,1,Adaptation,RH,18,18,0,-34,2,2,CCW,22.86185841,22.216008,30.35676646
17,1,Adaptation,RH,19,19,0,-32,3,3,CCW,20.21960945,20.26261235,25.4857536
17,1,Adaptation,RH,20,20,0,-27,1,1,CCW,21.96149136,22.8667055,28.08396079
17,1,Adaptation,RH,21,21,0,-29,3,3,CCW,23.19233234,23.17854301,25.4748203
17,1,Adaptation,RH,22,22,0,-29,2,2,CCW,19.36877134,19.33722016,24.13883347
17,1,Adaptation,RH,23,23,0,-34,4,4,CCW,22.48977469,23.35974833,22.94484139
17,1,Adaptation,RH,24,24,0,-35,1,1,CCW,24.00279978,23.42089163,34.49705872
17,1,Adaptation,RH,25,25,0,-26,3,3,CCW,24.33799062,21.87133343,23.48005011
17,1,Adaptation,RH,26,26,0,-26,2,2,CCW,18.65870886,18.89201995,21.44564693
17,1,Adaptation,RH,27,27,0,-31,2,2,CCW,25.16399873,25.51133363,26.30254792
17,1,Adaptation,RH,28,28,0,-30,1,1,CCW,23.00901177,22.37727551,28.63072633
17,1,Adaptation,RH,29,29,0,-31,1,1,CCW,27.37388669,28.17204751,34.78143453
17,1,Adaptation,RH,30,30,0,-26,4,4,CCW,25.29939281,24.13852914,28.76275247
17,1,Adaptation,RH,31,31,0,-25,2,2,CCW,25.49181928,26.5141223,25.96964828
17,1,Adaptation,RH,32,32,0,-30,3,3,CCW,26.43951437,26.84233399,27.68034365
17,1,Adaptation,RH,33,33,0,-35,3,3,CCW,23.73112725,23.70419966,28.91919408
17,1,Adaptation,RH,34,34,0,-33,4,4,CCW,25.20231868,25.51057981,23.0425013
17,1,Adaptation,RH,35,35,0,-30,3,3,CCW,24.35941899,25.09212969,27.78320529
17,1,Adaptation,RH,36,36,0,-28,2,2,CCW,24.63853097,24.85158566,25.42880012
17,1,Adaptation,RH,37,37,0,-25,2,2,CCW,24.29125103,24.81138401,23.75279171
17,1,Adaptation,RH,38,38,0,-34,2,2,CCW,21.75816949,21.05583262,31.75282001
17,1,Adaptation,RH,39,39,0,-33,1,1,CCW,24.23821454,24.54696533,33.320479
17,1,Adaptation,RH,40,40,0,-29,1,1,CCW,25.98095696,25.08037678,29.58215306
17,1,Adaptation,RH,41,41,0,-32,3,3,CCW,28.64507115,27.91711636,28.63950615
17,1,Adaptation,RH,42,42,0,-31,4,4,CCW,25.24043208,25.79023747,27.17860195
17,1,Adaptation,RH,43,43,0,-34,2,2,CCW,23.79442592,24.44667896,25.21664855
17,1,Adaptation,RH,44,44,0,-37,3,3,CCW,27.62592431,27.3528263,32.92313743
17,1,Adaptation,RH,45,45,0,-23,2,2,CCW,23.40994671,22.5413207,20.16695053
17,1,Adaptation,RH,46,46,0,-29,3,3,CCW,23.28814818,23.92611856,24.66943479
17,1,Adaptation,RH,47,47,0,-30,4,4,CCW,24.67315768,25.12919939,24.37640719
17,1,Adaptation,RH,48,48,0,-25,3,3,CCW,24.00431677,23.97711223,24.49640033
17,1,Adaptation,RH,49,49,0,-29,1,1,CCW,23.36966871,24.09401582,31.02557816
17,1,Adaptation,RH,50,50,0,-33,2,2,CCW,29.43889775,31.26270365,24.98138755
17,1,Adaptation,RH,51,51,0,-27,4,4,CCW,26.21915606,26.34347859,27.72088704
17,1,Adaptation,RH,52,52,0,-22,4,4,CCW,28.13293649,28.46548748,26.57862065
17,1,Adaptation,RH,53,53,0,-26,2,2,CCW,25.85816894,25.82260267,27.53211169
17,1,Adaptation,RH,54,54,0,-31,4,4,CCW,23.46726989,25.19599115,25.49831544
17,1,Adaptation,RH,55,55,0,-27,4,4,CCW,25.66179837,25.36497604,24.015704
17,1,Adaptation,RH,56,56,0,-34,4,4,CCW,26.95663402,25.34203062,27.45135709
17,1,Adaptation,RH,57,57,0,-28,3,3,CCW,23.85440372,23.63230633,26.04234574
17,1,Adaptation,RH,58,58,0,-31,4,4,CCW,25.64569758,26.91536359,24.92457492
17,1,Adaptation,RH,59,59,0,-28,2,2,CCW,23.56758819,22.95840588,23.28989849
17,1,Adaptation,RH,60,60,0,-33,1,1,CCW,25.5036448,26.28652299,34.02747259
17,1,Adaptation,RH,61,61,0,-23,3,3,CCW,30.05495433,30.67996659,22.31358114
17,1,Adaptation,RH,62,62,0,-37,2,2,CCW,21.49993327,21.54803333,25.42382949
17,1,Adaptation,RH,63,63,0,-29,3,3,CCW,26.51354417,25.91694097,23.88471762
17,1,Adaptation,RH,64,64,0,-29,3,3,CCW,21.09731857,21.81075115,25.61116715
17,1,Adaptation,RH,65,65,0,-24,2,2,CCW,25.3735248,25.90947198,21.14993507
17,1,Adaptation,RH,66,66,0,-30,3,3,CCW,25.03205159,24.39007035,26.0715605
17,1,Adaptation,RH,67,67,0,-30,3,3,CCW,23.19901531,24.19566363,26.04166772
17,1,Adaptation,RH,68,68,0,-25,2,2,CCW,25.39845642,26.87893255,19.14564109
17,1,Adaptation,RH,69,69,0,-32,1,1,CCW,25.75690384,26.92654914,33.8952287
17,1,Adaptation,RH,70,70,0,-38,4,4,CCW,34.0297225,34.72840323,28.9198733
17,1,Adaptation,RH,71,71,0,-35,1,1,CCW,28.59457233,29.15402076,34.74032418
17,1,Adaptation,RH,72,72,0,-30,2,2,CCW,25.43930452,26.84814992,29.35764539
17,1,Adaptation,RH,73,73,0,-32,3,3,CCW,26.76666188,27.57709971,28.68390215
17,1,Adaptation,RH,74,74,0,-31,4,4,CCW,23.00992039,23.87993656,23.07413249
17,1,Adaptation,RH,75,75,0,-32,4,4,CCW,24.50472984,24.46397282,22.83331931
17,1,Adaptation,RH,76,76,0,-22,1,1,CCW,24.10280272,25.11850895,17.85390672
17,1,Adaptation,RH,77,77,0,-26,1,1,CCW,30.23826898,29.29656922,26.84930522
17,1,Adaptation,RH,78,78,0,-29,1,1,CCW,29.44195119,29.61453815,26.72088033
17,1,Adaptation,RH,79,79,0,-33,2,2,CCW,29.46193979,29.59662482,30.27826904
17,1,Adaptation,RH,80,80,0,-31,4,4,CCW,27.64240617,28.84711891,26.5849142
17,1,Adaptation,RH,81,81,0,-30,2,2,CCW,27.99399763,28.23324505,24.12537336
17,1,Adaptation,RH,82,82,0,-21,1,1,CCW,30.32350867,30.66352318,27.16462537
17,1,Adaptation,RH,83,83,0,-24,2,2,CCW,30.38640496,29.9398606,24.6956583
17,1,Adaptation,RH,84,84,0,-35,2,2,CCW,26.31382289,25.29247691,29.53628919
17,1,Adaptation,RH,85,85,0,-31,2,2,CCW,26.15611723,24.53799,30.10700616
17,1,Adaptation,RH,86,86,0,-30,4,4,CCW,24.41569154,23.35509199,30.57022238
17,1,Adaptation,RH,87,87,0,-29,1,1,CCW,27.93740848,28.8147847,30.99241699
17,1,Adaptation,RH,88,88,0,-42,1,1,CCW,31.19171807,30.47591922,42.27578233
17,1,Adaptation,RH,89,89,0,-27,2,2,CCW,30.30446976,29.81006516,29.19374503
17,1,Adaptation,RH,90,90,0,-29,2,2,CCW,26.94089722,27.66595781,21.80632033
17,1,Adaptation,RH,91,91,0,-32,2,2,CCW,27.24145542,27.41917799,28.02031012
17,1,Adaptation,RH,92,92,0,-35,4,4,CCW,26.50346453,27.24187554,30.37580367
17,1,Adaptation,RH,93,93,0,-29,1,1,CCW,26.14745151,26.06791973,30.10895524
17,1,Adaptation,RH,94,94,0,-34,3,3,CCW,27.56379809,27.75925723,29.38408455
17,1,Adaptation,RH,95,95,0,-34,3,3,CCW,22.36481021,21.52343586,29.47007483
17,1,Adaptation,RH,96,96,0,-31,2,2,CCW,23.94560563,24.87709102,26.49462397
17,1,Adaptation,RH,97,97,0,-25,3,3,CCW,27.24069698,26.88698961,24.10001039
17,1,Adaptation,RH,98,98,0,-33,3,3,CCW,25.42738413,25.68552901,26.04721061
17,1,Adaptation,RH,99,99,0,-30,4,4,CCW,23.40208141,23.92707873,25.33801476
17,1,Adaptation,RH,100,100,0,-36,2,2,CCW,26.02251486,26.13850623,30.24881875
17,1,Adaptation,RH,101,101,0,-27,1,1,CCW,29.83067237,29.09735011,29.94334354
17,1,Adaptation,RH,102,102,0,-30,1,1,CCW,28.23052713,27.03433367,30.76078157
17,1,Adaptation,RH,103,103,0,-28,1,1,CCW,32.58149221,31.49221587,29.19634606
17,1,Adaptation,RH,104,104,0,-23,1,1,CCW,32.49209676,32.69965766,28.05207172
17,1,Adaptation,RH,105,105,0,-26,1,1,CCW,33.02172804,33.14371018,28.45087867
17,1,Adaptation,RH,106,106,0,-22,1,1,CCW,28.97773243,27.7439589,26.97997408
17,1,Adaptation,RH,107,107,0,-37,2,2,CCW,30.22778193,30.00696786,32.25590543
17,1,Adaptation,RH,108,108,0,-31,1,1,CCW,29.42861043,30.15092075,29.71469457
17,1,Adaptation,RH,109,109,0,-32,3,3,CCW,31.40819128,31.03263055,26.34782416
17,1,Adaptation,RH,110,110,0,-31,1,1,CCW,27.58287227,27.22667442,31.67369845
