GROUP,SUBJECT,PHASE,HAND,TRIAL,TRIAL_ABS,TARGET,ROT,SIG_MP,SIG_EP,DIR,HA_INIT,HA_MID,HA_END
16,1,Adaptation,RH,57,117,0,-28,3,1,CCW,25.70641333,25.55248014,25.54966906
16,1,Adaptation,RH,58,118,0,-31,1,3,CCW,31.64603436,31.72031012,32.82640126
16,1,Adaptation,RH,59,119,0,-28,1,1,CCW,21.29028121,21.24516433,28.47510799
16,1,Adaptation,RH,60,120,0,-33,1,1,CCW,23.11908965,23.34256088,29.48854664
16,1,Adaptation,RH,61,121,0,-23,1,3,CCW,28.74324621,28.52543335,24.50480211
16,1,Adaptation,RH,62,122,0,-37,3,3,CCW,19.9030245,19.909536,35.0160182
16,1,Adaptation,RH,63,123,0,-29,3,1,CCW,22.23621403,22.34671944,26.59965951
16,1,Adaptation,RH,64,124,0,-29,1,1,CCW,27.74959718,27.96971922,29.44244625
16,1,Adaptation,RH,65,125,0,-24,3,1,CCW,30.04796964,30.35681202,21.49820272
16,1,Adaptation,RH,66,126,0,-30,3,3,CCW,25.623051,25.64023722,30.07764236
16,1,Adaptation,RH,67,127,0,-30,1,3,CCW,27.44888545,27.15056738,28.94152678
16,1,Adaptation,RH,68,128,0,-25,1,3,CCW,26.56352332,26.41506295,24.88474231
16,1,Adaptation,RH,69,129,0,-32,3,3,CCW,26.06063543,25.84831908,31.35271816
16,1,Adaptation,RH,70,130,0,-38,1,3,CCW,22.31982275,22.7899142,38.84084531
16,1,Adaptation,RH,71,131,0,-35,3,3,CCW,22.30121596,22.17809559,34.06769627
16,1,Adaptation,RH,72,132,0,-30,3,3,CCW,25.5558886,25.70550396,27.57553315
16,1,Adaptation,RH,73,133,0,-32,1,3,CCW,24.96787325,24.92938955,31.1560803
16,1,Adaptation,RH,74,134,0,-31,1,1,CCW,25.56897568,25.74669777,31.71723177
16,1,Adaptation,RH,75,135,0,-32,3,3,CCW,29.98637074,29.83340089,33.49835733
16,1,Adaptation,RH,76,136,0,-22,1,1,CCW,24.49264813,24.21219434,23.03809196
16,1,Adaptation,RH,77,137,0,-26,3,1,CCW,32.52805618,32.24358099,26.02501154
16,1,Adaptation,RH,78,138,0,-29,3,3,CCW,32.44187159,32.53951037,30.94653897
16,1,Adaptation,RH,79,139,0,-33,3,3,CCW,27.52143044,27.48595541,31.46695086
16,1,Adaptation,RH,80,140,0,-31,3,3,CCW,24.81171124,24.77250055,29.75438731
16,1,Adaptation,RH,81,141,0,-30,1,1,CCW,24.50366585,24.78752788,24.70064778
16,1,Adaptation,RH,82,142,0,-21,3,1,CCW,31.84564186,31.90395874,21.77205143
16,1,Adaptation,RH,83,143,0,-24,1,1,CCW,31.24630089,31.28586311,23.49132176
16,1,Adaptation,RH,84,144,0,-35,3,1,CCW,32.10224953,32.41978935,32.10895082
16,1,Adaptation,RH,85,145,0,-31,1,1,CCW,27.20619853,27.04530534,30.39446987
16,1,Adaptation,RH,86,146,0,-30,3,1,CCW,30.39070956,30.53003444,32.87481817
16,1,Adaptation,RH,87,147,0,-29,3,3,CCW,33.657491,33.82450863,31.00238128
16,1,Adaptation,RH,88,148,0,-42,3,1,CCW,26.02502717,25.97628414,36.44423298
16,1,Adaptation,RH,89,149,0,-27,1,3,CCW,27.67875103,27.72188505,27.10179794
16,1,Adaptation,RH,90,150,0,-29,1,1,CCW,21.15989353,20.92672475,31.35541386
16,1,Adaptation,RH,91,151,0,-32,3,3,CCW,30.83024722,30.60065666,30.51788323
16,1,Adaptation,RH,92,152,0,-35,1,1,CCW,25.07764747,25.09862242,30.79589437
16,1,Adaptation,RH,93,153,0,-29,3,3,CCW,29.9463102,30.09076101,31.22629347
16,1,Adaptation,RH,94,154,0,-34,1,3,CCW,24.48999543,25.00709369,35.48674809
16,1,Adaptation,RH,95,155,0,-34,1,3,CCW,25.49002897,25.35665083,32.193982
16,1,Adaptation,RH,96,156,0,-31,3,3,CCW,24.65306676,24.69053296,28.68432937
16,1,Adaptation,RH,97,157,0,-25,3,1,CCW,27.3279957,27.31149681,26.67236586
16,1,Adaptation,RH,98,158,0,-33,3,1,CCW,29.22750638,28.8409018,30.49418724
16,1,Adaptation,RH,99,159,0,-30,3,1,CCW,29.83539532,29.74760209,30.18895581
16,1,Adaptation,RH,100,160,0,-36,1,1,CCW,29.12035103,28.76141526,34.9194676
16,1,Adaptation,RH,101,161,0,-27,3,3,CCW,29.72656872,29.89464383,28.00681395
16,1,Adaptation,RH,102,162,0,-30,1,3,CCW,25.36131192,25.1837055,30.30912742
16,1,Adaptation,RH,103,163,0,-28,1,3,CCW,25.0579433,25.07796187,28.98628248
